exp,graph_family,n,p,seed,algo,layers,width,bipartite_n,m,repeats,runtime_ns_median,runtime_ns_mean,runtime_ns_std,flow_value,cut_capacity,matching_size,edge_scans,bfs_edge_scans,dfs_edge_scans,bfs_count,augment_count,phase_count,dfs_calls,runtime_sec_median,runtime_sec_mean,runtime_sec_std
standard,bipartite,502,0.05,8,dinic,,,250.0,3674,15,3778542.0,3904436.066666667,227847.54427732923,250.0,250.0,250.0,36958,22294,14664,4,0,4,3338,0.003778542,0.003904436066666667,0.00022784754427732922
standard,bipartite,502,0.05,8,edmonds_karp,,,250.0,3674,15,36969500.0,36996728.06666667,274433.8133275412,250.0,250.0,250.0,560037,560037,0,251,250,0,0,0.0369695,0.03699672806666667,0.0002744338133275412
standard,bipartite,502,0.05,9,dinic,,,250.0,3668,15,3743666.0,3826508.3333333335,223959.14200128644,250.0,250.0,250.0,36313,22258,14055,4,0,4,3256,0.003743666,0.0038265083333333333,0.00022395914200128644
standard,bipartite,502,0.05,9,edmonds_karp,,,250.0,3668,15,37297250.0,37252014.0,436214.22636737314,250.0,250.0,250.0,562092,562092,0,251,250,0,0,0.03729725,0.037252014,0.0004362142263673731
standard,bipartite,502,0.08,0,dinic,,,250.0,5553,15,4806167.0,4888044.466666667,248813.56379106335,250.0,250.0,250.0,50435,33568,16867,4,0,4,4006,0.004806167,0.0048880444666666665,0.00024881356379106333
standard,bipartite,502,0.08,0,edmonds_karp,,,250.0,5553,15,51865458.0,52053375.0,827002.1889127198,250.0,250.0,250.0,842980,842980,0,251,250,0,0,0.051865458,0.052053375,0.0008270021889127199
standard,bipartite,502,0.08,1,dinic,,,250.0,5523,15,3936084.0,3993511.066666667,164176.86251829876,250.0,250.0,250.0,37607,22342,15265,3,0,3,3870,0.003936084,0.003993511066666667,0.00016417686251829876
standard,bipartite,502,0.08,1,edmonds_karp,,,250.0,5523,15,51179541.0,51153341.733333334,451291.4150266775,250.0,250.0,250.0,825866,825866,0,251,250,0,0,0.051179541,0.051153341733333337,0.0004512914150266775
standard,bipartite,502,0.08,2,dinic,,,250.0,5462,15,3827417.0,3873922.2666666666,180301.76979381245,250.0,250.0,250.0,37110,22098,15012,3,0,3,3794,0.003827417,0.0038739222666666667,0.00018030176979381244
standard,bipartite,502,0.08,2,edmonds_karp,,,250.0,5462,15,51154833.0,51972369.13333333,2835923.475135465,250.0,250.0,250.0,817931,817931,0,251,250,0,0,0.051154833,0.051972369133333335,0.002835923475135465
standard,bipartite,502,0.08,3,dinic,,,250.0,5459,15,5145959.0,5366991.733333333,419943.990548479,250.0,250.0,250.0,52827,33004,19823,4,0,4,4032,0.005145959,0.005366991733333333,0.000419943990548479
standard,bipartite,502,0.08,3,edmonds_karp,,,250.0,5459,15,50786875.0,50813722.13333333,466514.9845023917,250.0,250.0,250.0,819935,819935,0,251,250,0,0,0.050786875,0.050813722133333336,0.00046651498450239173
standard,bipartite,502,0.08,4,dinic,,,250.0,5462,15,4161084.0,4638102.8,982175.100249238,250.0,250.0,250.0,37541,22098,15443,3,0,3,3926,0.004161084,0.0046381028,0.000982175100249238
